State/UT,Year, Geographical Area,Total Forest Cover Area,Very Dense,Moderately Dense,Open Forest, Scrub Land,Mangrove
Andaman and Nicobar Islands,2005,8249.0,6629.0,3359.0,2646.0,624.0,3.0,637.0
Chandigarh,2005,114.0,15.0,1.0,8.0,6.0,1.0,0.0
Dadra & Nagar Haveli,2005,491.0,221.0,0.0,130.0,91.0,0.0,0.0
Daman & Diu,2005,112.0,8.0,0.0,2.0,6.0,0.0,1.0
Lakshadweep,2005,32.0,25.0,0.0,15.0,10.0,0.0,0.0
Puducherry,2005,480.0,42.0,0.0,17.0,25.0,0.0,1.0
India,2003,3287263.0,678333.0,51285.0,339279.0,287769.0,40269.0,4448.0
Andhra Pradesh,2003,275069.0,44419.0,23.0,24356.0,20040.0,9748.0,329.0
Arunachal Pradesh,2003,83743.0,68019.0,13907.0,39604.0,14508.0,116.0,0.0
Assam,2003,78438.0,27826.0,1684.0,11358.0,14784.0,219.0,0.0
Bihar,2003,94163.0,5558.0,76.0,2951.0,2531.0,150.0,0.0
Chattisgarh,2003,135191.0,55998.0,1540.0,37440.0,17018.0,88.0,0.0
Delhi,2003,1483.0,170.0,0.0,52.0,118.0,1.0,0.0
Goa,2003,3702.0,2156.0,0.0,1255.0,901.0,0.0,16.0
Gujarat,2003,196022.0,14946.0,114.0,6231.0,8601.0,1743.0,916.0
Haryana,2003,44212.0,1517.0,2.0,518.0,997.0,68.0,0.0
Himachal Pradesh,2003,55673.0,14353.0,1093.0,7883.0,5377.0,389.0,0.0
Jammu & Kashmir,2003,222236.0,21267.0,2102.0,8395.0,10770.0,2947.0,0.0
Jharkhand,2003,79714.0,22716.0,2544.0,9137.0,11035.0,807.0,0.0
Karnataka,2003,191791.0,36449.0,431.0,22030.0,13988.0,3141.0,3.0
Kerala,2003,38863.0,15577.0,334.0,9294.0,5949.0,72.0,8.0
Madhya Pradesh,2003,308245.0,76429.0,4000.0,37843.0,34586.0,2378.0,0.0
Maharashtra,2003,307713.0,46865.0,8070.0,20317.0,18478.0,4175.0,158.0
Manipur,2003,22327.0,17219.0,720.0,5818.0,10681.0,74.0,0.0
Meghalaya,2003,22429.0,16839.0,168.0,6323.0,10348.0,169.0,0.0
Mizoram,2003,21081.0,18430.0,84.0,7404.0,10942.0,274.0,0.0
Nagaland,2003,16579.0,13609.0,57.0,5650.0,7902.0,231.0,0.0
Odisha,2003,155707.0,48366.0,288.0,27882.0,20196.0,5346.0,203.0
Punjab,2003,50362.0,1580.0,0.0,743.0,837.0,22.0,0.0
Rajasthan,2003,342239.0,15826.0,14.0,4482.0,11330.0,4564.0,0.0
Sikkim,2003,7096.0,3262.0,458.0,1904.0,900.0,360.0,0.0
Tamil Nadu,2003,130058.0,22643.0,2440.0,9567.0,10636.0,2040.0,35.0
Tripura,2003,10486.0,8093.0,58.0,4988.0,3047.0,1.0,0.0
Uttar Pradesh,2003,240928.0,14118.0,1297.0,4699.0,8122.0,749.0,0.0
Uttarakhand,2003,53483.0,24465.0,4002.0,14420.0,6043.0,320.0,0.0
West Bengal,2003,88752.0,12343.0,2303.0,3742.0,6298.0,75.0,2120.0
Andaman and Nicobar Islands,2003,8249.0,6964.0,3475.0,2809.0,680.0,1.0,658.0
Chandigarh,2003,114.0,15.0,1.0,8.0,6.0,1.0,0.0
Dadra & Nagar Haveli,2003,491.0,225.0,0.0,145.0,80.0,0.0,0.0
Daman & Diu,2003,112.0,8.0,0.0,2.0,6.0,0.0,1.0
Lakshadweep,2003,32.0,23.0,0.0,12.0,11.0,0.0,0.0
Puducherry,2003,480.0,40.0,0.0,17.0,23.0,0.0,1.0
