State/UT,Year, Geographical Area,Total Forest Cover Area,Very Dense,Moderately Dense,Open Forest, Scrub Land,Mangrove
West Bengal,2013,88752.0,16805.0,2971.0,4146.0,9688.0,111.0,2097.0
Andaman and Nicobar Islands,2013,8249.0,6711.0,3754.0,2413.0,544.0,57.0,604.0
Chandigarh,2013,114.0,17.26,1.36,9.66,6.24,0.56,0.0
Dadra & Nagar Haveli,2013,491.0,243.0,0.0,144.0,99.0,1.0,0.0
Daman & Diu,2013,12.0,9.27,0.0,1.87,7.4,0.96,1.0
Lakshadweep,2013,32.0,27.06,0.0,17.18,9.88,0.0,0.0
Puducherry,2013,480.0,50.06,0.0,35.23,14.83,0.0,1.63
India,2011,3287263.0,692027.0,83471.0,320736.0,287820.0,,4662.0
Andhra Pradesh,2011,275069.0,46389.0,850.0,26242.0,19297.0,,352.0
Arunachal Pradesh,2011,83743.0,67410.0,20868.0,31519.0,15023.0,,0.0
Assam,2011,78438.0,27673.0,1444.0,11404.0,14825.0,,0.0
Bihar,2011,94163.0,6845.0,231.0,3280.0,3334.0,,0.0
Chattisgarh,2011,135191.0,55674.0,4163.0,34911.0,16600.0,,0.0
Delhi,2011,1483.0,176.0,7.0,49.0,120.0,,0.0
Goa,2011,3702.0,2219.0,543.0,585.0,1091.0,,22.0
Gujarat,2011,196022.0,14619.0,376.0,5231.0,9012.0,,1058.0
Haryana,2011,44212.0,1608.0,27.0,457.0,1124.0,,0.0
Himachal Pradesh,2011,55673.0,14679.0,3224.0,6381.0,5074.0,,0.0
Jammu & Kashmir,2011,222236.0,22539.0,4140.0,8760.0,9639.0,,0.0
Jharkhand,2011,79714.0,22977.0,2590.0,9917.0,10470.0,,0.0
Karnataka,2011,191791.0,36194.0,1777.0,20179.0,14238.0,,3.0
Kerala,2011,38863.0,17300.0,1442.0,9394.0,6464.0,,6.0
Madhya Pradesh,2011,308245.0,77700.0,6640.0,34986.0,36074.0,,0.0
Maharashtra,2011,307713.0,50646.0,8736.0,20815.0,21095.0,,186.0
