State/UT,Year, Geographical Area,Total Forest Cover Area,Very Dense,Moderately Dense,Open Forest, Scrub Land,Mangrove,SO2,NO2,RSPM,SPM,PM25,Annual Rainfall
Mizoram,2009,21081.0,19183.0,134.0,6149.0,12900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,2011,21081.0,19117.0,134.0,6086.0,12897.0,0.0,0.0,612.0,1688.965,12093.66666667,0.0,0.0,0.0
Mizoram,2013,21081.0,19054.0,138.0,5900.0,13016.0,0.0,0.0,2433.681666666001,7625.930000000999,55439.0,0.0,0.0,0.0
Mizoram,2015,21081.0,18748.0,138.0,5858.0,12752.0,0.0,0.0,2241.0,7354.0,43936.0,0.0,0.0,0.0
Mizoram,2017,21081.0,18186.0,131.0,5861.0,12194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,2019,21081.0,18006.0,157.0,5801.0,12048.0,1181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,1987,16579.0,14451.0,6479.0,0.0,7972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,1989,16579.0,14356.0,4632.0,0.0,9724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,1991,16579.0,14321.0,3531.0,0.0,10790.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,1993,16579.0,14348.0,3487.0,0.0,10861.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,1995,16579.0,14291.0,3487.0,0.0,10804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,1997,16579.0,14221.0,3487.0,0.0,10734.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,1999,16579.0,14164.0,5137.0,0.0,9027.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,2001,16579.0,13345.0,5393.0,0.0,7952.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,2003,16579.0,13609.0,57.0,5650.0,7902.0,231.0,0.0,0.0,0.0,13172.0,24340.0,0.0,0.0
Nagaland,2005,16579.0,13719.0,236.0,5602.0,7881.0,13.0,0.0,0.0,369.0,5424.0,10483.0,0.0,0.0
Nagaland,2007,16579.0,13464.0,1274.0,4897.0,7293.0,2.0,0.0,115.5,2929.200000000003,14028.0,25922.0,0.0,0.0
Nagaland,2009,16579.0,13464.0,1274.0,4897.0,7293.0,0.0,0.0,3.7,1464.9,7154.0,12965.0,0.0,0.0
Nagaland,2011,16579.0,13318.0,1293.0,4931.0,7094.0,0.0,0.0,832.0,2555.000000000003,34254.0,0.0,0.0,0.0
Nagaland,2013,16579.0,13044.0,1298.0,4736.0,7010.0,2.0,0.0,794.0,2078.0,36929.0,0.0,0.0,0.0
Nagaland,2015,16579.0,12966.0,1296.0,4695.0,6975.0,622.0,0.0,798.0,2723.0,43017.0,0.0,0.0,0.0
Nagaland,2017,16579.0,12489.0,1279.0,4587.0,6623.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,2019,16579.0,12486.0,1273.0,4534.0,6679.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odisha,1987,155707.0,52964.0,28573.0,0.0,24391.0,0.0,199.0,0.0,0.0,0.0,436.0,0.0,1097.6
Odisha,1989,155707.0,46945.0,27561.0,0.0,19384.0,0.0,192.0,223.5,134.9,0.0,3545.0,0.0,1299.7
Odisha,1991,155707.0,47010.0,27349.0,0.0,19661.0,6295.0,195.0,90.2,0.0,0.0,3439.0,0.0,1472.8
Odisha,1993,155707.0,46950.0,27151.0,0.0,19799.0,6355.0,195.0,1541.0999999999995,1462.1999999999994,0.0,2466.0,0.0,1448.0
Odisha,1995,155707.0,46912.0,27163.0,0.0,19749.0,0.0,195.0,1355.9999999999998,1576.7,0.0,14383.0,0.0,1614.0
Odisha,1997,155707.0,46730.0,26101.0,0.0,20629.0,5461.0,211.0,1030.9,1063.4,0.0,10263.0,0.0,1504.5
Odisha,1999,155707.0,46818.0,26073.0,0.0,20745.0,5439.0,215.0,820.1999999999997,1091.9999999999998,0.0,13443.0,0.0,1484.3
Odisha,2001,155707.0,48838.0,27972.0,0.0,20866.0,5782.0,219.0,728.5,1699.8000000000006,0.0,13281.0,0.0,1672.5
Odisha,2003,155707.0,48366.0,288.0,27882.0,20196.0,5346.0,203.0,0.0,0.0,0.0,0.0,0.0,1648.2
Odisha,2005,155707.0,48374.0,538.0,27656.0,20180.0,4743.0,203.0,2837.200000000001,13428.999999999998,72557.0,143870.0,0.0,1503.4
Odisha,2007,155707.0,48855.0,7073.0,21394.0,20388.0,4852.0,221.0,5199.999999999998,25857.79999999998,125381.0,273481.0,0.0,1633.8
Odisha,2009,155707.0,48855.0,7073.0,21394.0,20388.0,0.0,221.0,5464.400000000007,27258.599999999922,129587.0,280197.0,0.0,1330.3
Odisha,2011,155707.0,48903.0,7060.0,21366.0,20477.0,0.0,222.0,747.0,6433.849999989996,32248.333333399998,45704.0,0.0,1346.2
Odisha,2013,155707.0,50347.0,7042.0,21298.0,22007.0,4424.0,213.0,8770.0,36527.0,184455.6666669,0.0,0.0,1632.4
Odisha,2015,155707.0,50354.0,7023.0,21470.0,21861.0,4499.0,231.0,11813.0,42336.0,211216.0,0.0,87494.0,1210.1
Odisha,2017,155707.0,51345.0,6967.0,21370.0,23008.0,4306.0,243.0,0.0,0.0,0.0,0.0,0.0,1344.5
Odisha,2019,155707.0,51619.0,6970.0,21552.0,23097.0,1.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,1987,480.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,1989,480.0,0.0,0.0,0.0,0.0,0.0,0.0,275.1,1108.7,0.0,3975.0,0.0,0.0
Puducherry,1991,480.0,0.0,0.0,0.0,0.0,0.0,0.0,290.9,348.30000000000007,0.0,3463.0,0.0,0.0
Puducherry,1993,480.0,0.0,0.0,0.0,0.0,0.0,0.0,646.1,1132.1,0.0,0.0,0.0,0.0
Puducherry,1995,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.1,2300.1,0.0,6524.0,0.0,0.0
Puducherry,1997,480.0,0.0,0.0,0.0,0.0,0.0,0.0,2095.4,1623.8000000000006,0.0,9551.0,0.0,0.0
Puducherry,1999,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.3000000000004,1277.9000000000005,0.0,6956.0,0.0,0.0
Puducherry,2001,480.0,36.0,35.0,0.0,1.0,0.0,1.0,345.40000000000015,446.3,0.0,2758.0,0.0,0.0
Puducherry,2003,480.0,40.0,0.0,17.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2005,480.0,42.0,0.0,17.0,25.0,0.0,1.0,4279.5999999999985,3997.199999999999,13509.0,22054.0,0.0,0.0
Puducherry,2007,480.0,44.0,0.0,13.0,31.0,0.0,1.0,1035.8999999999996,1672.4999999999993,13703.0,22427.0,0.0,0.0
Puducherry,2009,480.0,49.97,0.0,34.1,15.87,0.0,1.0,110.0,270.0,1736.0,2720.0,0.0,0.0
Puducherry,2011,480.0,50.0,0.0,35.37,14.69,0.0,0.0,1584.1999999999994,3492.0,9672.0,0.0,0.0,0.0
Puducherry,2013,480.0,50.06,0.0,35.23,14.83,0.0,1.63,1574.0,3477.0,11664.0,0.0,0.0,0.0
Puducherry,2015,480.0,55.38,0.0,29.68,25.7,0.0,2.0,4995.0,5328.0,18149.0,0.0,0.0,0.0
Puducherry,2017,490.0,53.67,0.0,17.6,36.07,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2019,490.0,52.41,0.0,17.66,34.75,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Punjab,1987,50362.0,766.0,96.0,0.0,670.0,0.0,0.0,0.0,0.0,0.0,11604.0,0.0,409.6
Punjab,1989,50362.0,1161.0,97.0,0.0,1064.0,0.0,0.0,9.4,612.0999999999998,0.0,7989.0,0.0,480.3
Punjab,1991,50362.0,1343.0,481.0,0.0,862.0,93.0,0.0,353.2,851.5999999999997,0.0,5075.0,0.0,475.9
Punjab,1993,50362.0,1343.0,481.0,0.0,862.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,583.1
Punjab,1995,50362.0,1342.0,481.0,0.0,861.0,0.0,0.0,126.6,71.9,0.0,669.0,0.0,869.1
Punjab,1997,50362.0,1387.0,511.0,0.0,876.0,116.0,0.0,1642.999999999999,3413.9,0.0,21194.0,0.0,690.1
Punjab,1999,50362.0,1412.0,517.0,0.0,895.0,107.0,0.0,1882.8,3263.4,0.0,36440.0,0.0,364.4
